ident;size;scanDuration;chunksTested;matchesAdded;appraisal;Cnt;CntDom;CntCode;CntData;#Blob;#Blob Stream Header;#GUID;#Strings;#Strings Stream Header;#US;#US Stream Header;#~;.data;.idata;.pdata;.rdata;.reloc;.rsrc;.text;0x2e 0x6b 0x66 0x6c 0x78 0x00 0xcc 0xcc ;DotNet Header;_RDATA;a$F-sH-*;methods;unknown
EXE PE.NET;146944;3;44;9;One;5;1;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0
EXE PE64;6024984;787;138;64;Fragile;2;2;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
EXE PE64;6024984;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;6024984;1171;292;122;Fragile;31;29;0;31;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;13312;12;193;60;Fragile;20;13;0;20;2;0;0;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;13312;1;82;18;Fragile;9;8;0;9;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;13312;22;245;67;Fragile;35;33;18;17;0;0;0;5;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;18;0
EXE PE64;45056;5;311;138;Robust;7;7;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;0;0
EXE PE64;45056;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;45056;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;109568;4;156;69;Fragile;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
EXE PE32;109568;832;1444;655;Fragile;51;51;9;42;0;0;0;0;0;0;0;0;28;0;0;9;0;5;9;0;0;0;0;0;0
EXE PE32;109568;196;791;275;Fragile;93;90;66;27;0;0;0;0;0;0;0;0;3;0;0;24;0;0;66;0;0;0;0;0;0
EXE PE32;239104;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;239104;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;239104;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
